start_ns	end_ns	device	stream	grid_x	grid_y	grid_z	block_x	block_y	block_z	registers	static_shared	dynamic_shared	kernel
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	512	1	1	512	1	1	0	20	0	_ZN2lp19quant_vector_kernelILi0ELi1ELi4EEEvPKvPhS3_PKfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	512	1	1	512	1	1	0	20	0	_ZN2lp19quant_vector_kernelILi0ELi1ELi4EEEvPKvPhS3_PKfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	512	1	1	512	1	1	0	20	0	_ZN2lp19quant_vector_kernelILi0ELi1ELi4EEEvPKvPhS3_PKfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	512	1	1	512	1	1	0	20	0	_ZN2lp19quant_vector_kernelILi0ELi1ELi4EEEvPKvPhS3_PKfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	512	1	1	512	1	1	0	20	0	_ZN2lp19quant_vector_kernelILi0ELi1ELi4EEEvPKvPhS3_PKfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi0ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	512	1	1	512	1	1	0	20	0	_ZN2lp19quant_vector_kernelILi0ELi1ELi4EEEvPKvPhS3_PKfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi2ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi2ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi2ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi2ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi2ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
0	0	0	0	256	1	1	128	1	1	0	20	0	_ZN2lp15hadamard_kernelILi1024ELi2ELi0ELi4ELi32EEEvPKvPvmibbjPhS4_PfNS_6LayoutE
